Player, POS, Age, Team, G, MP, PER, TS%, 3PAr, FTr, ORB%, DRB%, TRB%, AST%, STL%, BLK%, TOV%, USG%, , OWS, DWS, WS, WS48, , OBPM, DBPM, BPM, VORP
A.J. Hammons,C,24,DAL,22,163,8.4,0.472,0.238,0.476,5.4,21,12.8,3.8,0.3,7.2,16.4,17.6,,-0.2,0.2,0,-0.001,,-7.5,2,-5.6,-0.1
Aaron Brooks,PG,33,MIN,26,157,10.2,0.513,0.412,0.118,3.7,6,4.8,16.1,1.9,0,14.4,17.7,0,0.1,0.1,0.1,0.039,0,-1,-3,-4,-0.1
Aaron Gordon,PF,22,ORL,39,1325,17,0.547,0.39,0.279,5.5,21.8,13.6,10.1,1.3,1.6,10.3,24.1,0,1.2,1.1,2.3,0.082,0,0.5,-0.6,-0.2,0.6
Aaron Gray,C,33,DET,33,335,7.9,0.455,0.017,0.31,13,21.8,17.4,8.2,1.5,1.9,29.1,12.2,,-0.2,0.4,0.1,0.018,,-4.2,1.7,-2.5,0
Abdel Nader,SF,24,BOS,28,267,4.7,0.441,0.5,0.141,3.3,10.8,7.2,9.3,1.1,1.2,18.7,17.1,0,-0.5,0.4,-0.1,-0.018,0,-5.6,0,-5.6,-0.2
Al Horford,C,31,BOS,53,1704,18.6,0.593,0.317,0.147,4.9,21.2,13.2,26,1,3,15.4,18.2,0,3.3,3.1,6.4,0.182,0,1.5,3.5,5,3
Al Jefferson,C,33,IND,28,380,17.9,0.559,0.006,0.143,6.4,25,15.9,9.9,1.6,3.2,9.9,21.4,0,0.5,0.5,1,0.127,0,-2.2,0.5,-1.7,0
Al-Farouq Aminu,PF,27,POR,44,1312,12.1,0.53,0.569,0.122,4.4,22.1,13.4,5.4,1.5,1.8,9.8,14.8,0,0.8,1.8,2.6,0.095,0,-0.8,1.2,0.4,0.8
Alan Williams,C,24,PHO,47,708,19.5,0.547,0.004,0.419,14,31.2,22.4,5.2,1.8,3.7,10.5,20.9,,1.1,0.9,2.1,0.142,,-1.8,0.1,-1.7,0.1
Alec Burks,SG,26,UTA,50,919,14.4,0.53,0.335,0.319,2.1,18.3,10.2,10.4,1.9,0.8,10,23.1,0,0.5,1.1,1.7,0.086,0,-1.8,-0.6,-2.4,-0.1
Alec Peters,PF,22,PHO,9,81,5.8,0.316,0.875,0.125,5.2,19.1,12,11.8,0,2,3.8,13.8,0,-0.1,0,-0.1,-0.04,0,-3.6,-1.7,-5.4,-0.1
Alex Abrines,SG,24,OKC,51,812,9,0.566,0.719,0.176,2.7,9.3,5.9,3.2,1.7,0.6,8.9,13.2,0,0.9,0.8,1.6,0.096,0,-0.8,-1.6,-2.4,-0.1
Alex Caruso,PG,23,LAL,24,309,7.8,0.475,0.333,0.2,2.7,8,5.3,19.6,1.9,1.6,24.3,11.8,0,-0.1,0.3,0.2,0.031,0,-4.1,0.1,-4,-0.2
Alex Len,C,24,PHO,47,944,19.5,0.619,0,0.602,13.7,28.2,20.8,9.3,0.9,3.3,15.5,16.8,0,2.2,0.8,3.1,0.155,0,-0.2,1.1,0.9,0.7
Alex Poythress,PF,24,IND,21,90,7.7,0.5,0.381,0,7.7,8.7,8.2,2.9,1.7,1,8.7,11.4,0,0,0.1,0.1,0.057,0,-2.1,-1.4,-3.5,0
Alexis Ajinca,C,28,NOP,39,584,12.9,0.529,0.022,0.225,8.3,23.8,16,3.1,1.7,3.1,13.7,17.2,,0,0.9,1,0.08,,-5.1,1,-4.1,-0.3
Alfonzo McKinnie,SF,25,TOR,11,43,8.3,0.601,0.583,0.25,0,15.3,7.8,3.3,1.1,1.9,18.4,16.5,0,0,0.1,0,0.05,0,-3.2,-1,-4.2,0
Allen Crabbe,SG,25,BRK,53,1552,10.8,0.536,0.641,0.161,1.3,14.4,7.8,8.4,0.9,1,9.1,18.5,0,0.7,1.1,1.7,0.054,0,-0.4,-0.9,-1.3,0.3
Amir Johnson,C,30,PHI,50,766,15.4,0.576,0.103,0.333,12.4,18.8,15.7,12.7,2.1,3.5,15.6,13.2,0,1.3,1.3,2.6,0.166,0,-0.2,3.3,3.1,1
Andre Drummond,C,24,DET,53,1767,24.1,0.567,0.01,0.449,16.4,36.7,26.3,17.8,2.5,4.1,17.1,21.5,0,3.6,3.9,7.5,0.203,0,1.2,5.9,7.1,4.1
Andre Iguodala,SF,34,GSW,47,1198,10.3,0.504,0.36,0.289,4,11.8,8.2,15.7,1.6,1.7,15.7,11.1,0,0.9,1.1,2.1,0.083,0,-0.9,0.8,-0.1,0.6
Andre Roberson,SG,26,OKC,39,1037,11,0.543,0.222,0.235,7.8,12.3,10,6,2.2,3.1,14.4,8.7,0,0.9,1.4,2.3,0.105,0,-1.3,2.9,1.6,0.9
Andrew Bogut,C,33,LAL,24,216,10.9,0.696,0,0.08,12.7,25.7,19.2,9.1,0.9,4.9,42.3,8.8,0,0.1,0.3,0.4,0.092,0,-3.8,3.6,-0.2,0.1
Andrew Harrison,PG,23,MEM,47,1048,11.9,0.531,0.335,0.364,2.1,9.7,5.8,19.8,1.6,2,15.7,19,0,0.5,0.8,1.3,0.06,0,-1.6,-0.8,-2.3,-0.1
Andrew Wiggins,SF,22,MIN,59,2131,13.3,0.509,0.266,0.248,3.1,10.7,6.8,7.6,1.6,1.6,9,23.7,0,0.5,1.2,1.6,0.037,0,-1.1,-1.4,-2.5,-0.3
Ante Zizic,C,21,CLE,14,45,14.2,0.497,0,0.583,15.2,24.5,19.9,3.1,0,5.7,11.7,16.9,0,0,0,0.1,0.092,0,-5.1,-1.2,-6.3,0
Anthony Davis,PF,24,NOP,49,1788,27.6,0.612,0.112,0.428,7.7,24.3,16.2,11.5,1.7,4.8,8.7,28.8,0,5.8,2.6,8.3,0.224,0,2.6,1.5,4.1,2.7
Anthony Tolliver,PF,32,DET,52,1106,12.9,0.65,0.794,0.296,2.8,12.5,7.5,8.3,0.8,1.1,11.9,14.8,0,2,0.9,2.9,0.127,0,1.7,-0.9,0.8,0.8
Antonio Blakeney,SG,21,CHI,12,170,8.7,0.466,0.366,0.256,1.8,11.1,6.3,6.6,0.6,0,8.1,25.6,0,-0.2,0.1,-0.2,-0.044,0,-4.7,-4.7,-9.4,-0.3
Antonius Cleveland,SG,23,DAL,13,81,5.1,0.317,0.071,0.286,2.7,11.5,6.9,3.3,3.7,4.5,11.3,10,0,-0.1,0.1,0,-0.004,0,-7.4,4.5,-2.9,0
Aron Baynes,C,31,BOS,58,1054,11.2,0.494,0.03,0.212,9,22.6,15.9,7.7,0.8,2.8,14.1,16.3,0,0.1,1.9,2,0.093,0,-4.6,2.2,-2.4,-0.1
