Player, Team, 17-18, 18-19, 19-20,  20-21, 21-22, 22-23, Gtd,
A.J. Hammons, MIA,1312611,1544951,0,0,0,0,2857562, 
Aaron Brooks, MIN,2116955,0,0,0,0,0,2116955, 
Aaron Gordon, ORL,5504420,0,0,0,0,0,5504420, 
Aaron Gray, DET,452059,0,0,0,0,0,452059, 
Abdel Nader, BOS,1167333,1378242,1618520,1752950,0,0,1617333, 
Al Horford, BOS,27734405,28928710,30123015,0,0,0,56663115, 
Al Jefferson, IND,9769821,10000000,0,0,0,0,13769821, 
Al-Farouq Aminu, POR,7319035,6957105,0,0,0,0,14276140, 
Alan Williams, PHO,6000000,5520000,5520000,0,0,0,6000000, 
Alec Burks, UTA,10845506,11536515,0,0,0,0,22382021, 
Alec Peters, PHO,50000,0,0,0,0,0,50000,
Alex Abrines, OKC,5725000,5455236,0,0,0,0,11180236, 
Alex Caruso, LAL,18432,0,0,0,0,0,0,
Alex Len, PHO,4187599,0,0,0,0,0,4187599, 
Alex Poythress, IND,778668,1544951,0,0,0,0,778668, 
Alexis Ajinca, NOP,4961798,5285394,0,0,0,0,10247192, 
Alfonzo McKinnie, TOR,815615,1378242,0,0,0,0,815615, 
Allen Crabbe, BRK,19332500,18500000,18500000,0,0,0,37832500, 
Amir Johnson, PHI,11000000,0,0,0,0,0,11000000, 
Andre Drummond, DET,23775506,25434263,27093019,28751775,0,0,76302788, 
Andre Iguodala, GSW,14814815,16000000,17185185,0,0,0,48000000, 
Andre Roberson, OKC,9259259,10000000,10740741,0,0,0,30000000, 
Andrew Bogut, LAL,2328652,0,0,0,0,0,0, 
Andrew Harrison, MEM,1312611,1544951,0,0,0,0,1312611, 
Andrew Wiggins, MIN,7574322,25250000,27270000,29290000,31310000,0,154024322, 
Ante Zizic, CLE,1645200,1952760,2281800,3872215,0,0,3597960, 
Anthony Davis, NOP,23775506,25434263,27093019,28751775,0,0,76302788, 
Anthony Tolliver, DET,3290000,0,0,0,0,0,3290000, 
Antonio Blakeney, CHI,50000,50000,0,0,0,0,100000,
Antonius Cleveland, DAL,50000,0,0,0,0,0,50000, 
Aron Baynes, BOS,4328000,0,0,0,0,0,4328000, 
Arron Afflalo, ORL,2328652,0,0,0,0,0,2328652, 
Austin Rivers, LAC,11825000,12650000,0,0,0,0,11825000, 
Avery Bradley, LAC,8808989,0,0,0,0,0,8808989, 
Bam Adebayo, MIA,2490360,2955840,3454080,5115492,0,0,5446200, 
Ben McLemore, MEM,5200000,5460000,0,0,0,0,10660000, 
Ben Moore, IND,0,0,0,0,0,0,0,
Ben Simmons, PHI,6168840,6434520,8113930,0,0,0,12603360, 
Bismack Biyombo, ORL,17000000,17000000,17000000,0,0,0,34000000, 
Blake Griffin, DET,29512900,31873932,34234964,36595996,38957028,0,132217792, 
Boban Marjanovic, LAC,7000000,7000000,0,0,0,0,14000000, 
Bobby Brown, HOU,1524305,0,0,0,0,0,0, 
Bobby Portis, CHI,1516320,2494346,0,0,0,0,4010666, 
Bogdan Bogdanovic, SAC,9470614,9000000,8529386,0,0,0,27000000, 
Bojan Bogdanovic, IND,10500000,10500000,0,0,0,0,12000000, 
Bradley Beal, WAS,23775506,25434263,27093019,28751775,0,0,105054563, 
Brandan Wright, MEM,5179760,0,0,0,0,0,5179760, 
Brandon Ingram, LAL,5519400,5757120,7265485,0,0,0,11276520, 
Brandon Knight, PHO,13618750,14631250,15643750,0,0,0,43893750, 
Brandon Paul, SAS,815615,1378242,0,0,0,0,815615, 
Brice Johnson, MEM,1331160,0,0,0,0,0,1331160, 
Brook Lopez, LAL,22642350,0,0,0,0,0,22642350, 
Bruno Caboclo, SAC,2451225,0,0,0,0,0,2451225, 
Bryn Forbes, SAS,1312611,0,0,0,0,0,1312611, 
Buddy Hield, SAC,3675480,3833760,4861208,0,0,0,7509240, 
C.J. McCollum, POR,23962573,25759766,27556959,29354152,0,0,106633450, 
C.J. Miles, TOR,7936509,8333333,8730158,0,0,0,16269842, 
C.J. Williams, LAC,13824,0,0,0,0,0,13824,
Caleb Swanigan, POR,1465920,1740000,2033160,3665787,0,0,3205920, 
Cameron Payne, CHI,2203440,3263295,0,0,0,0,5466735, 
Caris LeVert, BRK,1632480,1702800,2625718,0,0,0,3335280, 
Carmelo Anthony, OKC,26243760,27928140,0,0,0,0,26243760, 
Cedi Osman, CLE,2642857,2775000,2907143,0,0,0,8325000, 
Chandler Parsons, MEM,23112004,24107258,25102511,0,0,0,72321773, 
Channing Frye, LAL,7420912,0,0,0,0,0,7420912, 
Charles Cooke, NOP,0,0,0,0,0,0,0,
Cheick Diallo, NOP,1312611,1544951,0,0,0,0,1812611, 
Chinanu Onuaku, HOU,1312611,1544951,0,0,0,0,2857562, 
Chris McCullough, WAS,1471382,0,0,0,0,0,1471382, 
Chris Paul, HOU,24599495,0,0,0,0,0,24599495, 
Clint Capela, HOU,2334520,0,0,0,0,0,2334520, 
Cody Zeller, CHO,12584270,13528090,14471910,15415730,0,0,56000000, 
Cole Aldrich, MIN,7300000,6956021,0,0,0,0,9356021, 
Corey Brewer, LAL,7579366,0,0,0,0,0,7579366, 
Cory Joseph, IND,7630000,7945000,0,0,0,0,7630000, 
Courtney Lee, NYK,11747890,12253780,12759670,0,0,0,36761340, 
Cristiano Felicio, CHI,7843500,8470980,8156500,7529020,0,0,32000000, 
D.J. Augustin, ORL,7250000,7250000,7250000,0,0,0,21750000, 
D.J. Wilson, MIL,2135040,2534280,2961120,4548280,0,0,4669320, 
D'Angelo Russell, BRK,5562360,7019698,0,0,0,0,12582058, 
Dakari Johnson, OKC,815615,1378242,0,0,0,0,2193857, 
Damian Jones, GSW,1312611,1544951,2305057,0,0,0,2857562, 
Damian Lillard, POR,26153057,27977689,29802321,31626953,0,0,115560020, 
Damien Wilkins, IND,2116955,0,0,0,0,0,25000, 
Damyean Dotson, NYK,1100000,1378242,1618520,0,0,0,2478242, 
Daniel Hamilton, OKC,18432,0,0,0,0,0,18432,
Daniel Theis, BOS,815615,1378242,0,0,0,0,815615, 
Danilo Gallinari, LAC,20559599,21587579,22615559,0,0,0,64762737, 
Danny Green, SAS,10000000,10000000,0,0,0,0,10000000, 
Dante Cunningham, BRK,2300000,0,0,0,0,0,2300000, 
Danuel House,PHO,0,0,0,0,0,0,0,
Dante Exum, UTA,4992385,0,0,0,0,0,4992385, 
Dario Saric, PHI,2422560,2526840,3481986,0,0,0,4949400, 
Darius Miller, NOP,2100000,2205000,0,0,0,0,2100000, 
Darrell Arthur, DEN,7464912,7464912,0,0,0,0,7464912, 
Darren Collison, IND,10000000,10000000,0,0,0,0,12000000, 
Darrun Hilliard,SAS,44495,0,0,0,0,0,44495,
David Nwaba, CHI,1312611,0,0,0,0,0,1312611, 
David West, GSW,2328652,0,0,0,0,0,2328652, 
Davis Bertans, SAS,1312611,0,0,0,0,0,1312611, 
Davon Reed, PHO,815615,1378242,1618520,0,0,0,1504736, 
De'Aaron Fox, SAC,4609200,5407920,6392760,8099627,0,0,10017120, 
DeAndre Jordan, LAC,22642350,24119025,0,0,0,0,22642350, 
DeAndre Liggins, NOP,172238,0,0,0,0,0,172238, 
DeAndre' Bembry, ATL,1567200,1634640,2603982,0,0,0,3201840, 
Dejounte Murray, SAS,1312611,1544951,2321735,0,0,0,2857562, 
Delon Wright, TOR,1645200,2536898,0,0,0,0,4182098, 
DeMar DeRozan, TOR,27739975,27739975,27739975,27739975,0,0,83219925, 
DeMarcus Cousins, NOP,18063850,0,0,0,0,0,18063850, 
DeMarre Carroll, BRK,14800000,15400000,0,0,0,0,30200000, 
Demetrius Jackson, HOU,50000,0,0,0,0,0,124159, 
Dennis Schroder, ATL,15500000,15500000,15500000,15500000,0,0,62000000, 
Dennis Smith, DAL,3218280,3819960,4463640,5686677,0,0,7038240, 
Denzel Valentine, CHI,2186400,2280600,3377569,0,0,0,4467000, 
Derrick Favors, UTA,12000000,0,0,0,0,0,12000000, 
Derrick Jones, PHO,1312611,0,0,0,0,0,0, 
Derrick Walton,MIA,0,0,0,0,0,0,0,
Derrick White, SAS,1404600,1667160,1948080,3516284,0,0,3071760, 
Devin Booker, PHO,2319360,3314365,0,0,0,0,5633725, 
Devin Harris, DEN,4402546,0,0,0,0,0,4402546, 
Dewayne Dedmon, ATL,6000000,6300000,0,0,0,0,6000000, 
Deyonta Davis, MEM,1312611,1544951,0,0,0,0,2857562, 
Dillon Brooks, MEM,815615,1378242,1618520,0,0,0,2193857, 
Dion Waiters, MIA,11000000,11550000,12100000,12650000,0,0,47300000, 
Dirk Nowitzki, DAL,5000000,5000000,0,0,0,0,5000000, 
Domantas Sabonis, IND,2550000,2659800,3529555,0,0,0,5209800, 
Donovan Mitchell, UTA,2621280,3111480,3635760,5195501,0,0,5732760, 
Dorian Finney-Smith, DAL,1312611,1544951,0,0,0,0,1312611, 
Doug McDermott, DAL,3294994,0,0,0,0,0,3294994, 
Dragan Bender, PHO,4468800,4661280,5896519,0,0,0,9130080, 
Draymond Green, GSW,16400000,17469565,18539130,0,0,0,52408695, 
Dwayne Bacon, CHO,815615,1378242,1618520,0,0,0,2193857, 
Dwight Buycks, DET,748160,1600520,0,0,0,0,748160, 
Dwight Howard, CHO,23500000,23819725,0,0,0,0,47319725, 
Dwight Powell, DAL,9003125,9631250,10259375,0,0,0,18634375, 
Dwyane Wade, MIA,17878652,0,0,0,0,0,17878652, 
E'Twaun Moore, NOP,8445024,8808685,8664928,0,0,0,25918637, 
Ed Davis, POR,6352531,0,0,0,0,0,6352531, 
Ekpe Udoh, UTA,3200000,3360000,0,0,0,0,3200000, 
Elfrid Payton, PHO,3332340,0,0,0,0,0,3332340, 
Emeka Okafor, NOP,119602,0,0,0,0,0,119602, 
Emmanuel Mudiay, NYK,3381480,4294480,0,0,0,0,7675960, 
Enes Kanter, NYK,20566802,18622514,0,0,0,0,20566802, 
Eric Bledsoe, MIL,14500000,15000000,0,0,0,0,29500000, 
Eric Gordon, HOU,12943020,13500375,14057730,0,0,0,40501125, 
Eric Moreland, DET,1739333,1826300,1913267,0,0,0,1739333, 
Eric McCree,UTA,0,0,0,0,0,0,0,
Ersan Ilyasova, ATL,6000000,0,0,0,0,0,6000000, 
Evan Fournier, ORL,17000000,17000000,17000000,17000000,0,0,51000000, 
Evan Turner, POR,17131148,17868852,18606557,0,0,0,53606557, 
Frank Jackson, NOP,815615,1378242,1618520,0,0,0,2699857, 
Frank Kaminsky, CHO,2847600,3627842,0,0,0,0,6475442, 
Frank Mason, SAC,1184385,1378242,1618520,0,0,0,2562627, 
Frank Ntilikina, NYK,3501120,4155720,4855800,6176578,0,0,7656840, 
Fred VanVleet, TOR,1312611,0,0,0,0,0,0, 
Furkan Korkmaz, PHI,1465920,1740000,2033160,3665787,0,0,3205920, 
Garrett Temple, SAC,8000000,8000000,0,0,0,0,8000000, 
Gary Harris, DEN,2550055,16517857,17839286,19160714,20482143,0,76550055, 
Gary Payton, MIL,50000,0,0,0,0,0,50000, 
George Hill, CLE,20000000,19000000,18000000,0,0,0,40000000, 
Georges Niang, IND,100000,0,0,0,0,0,100000, 
Georgios Papagiannis, SAC,2301360,2400480,3430288,0,0,0,4701840, 
Gerald Green, HOU,947248,0,0,0,0,0,947248, 
Gian Clavell, DAL,50000,0,0,0,0,0,50000, 
Giannis Antetokounmpo, MIL,22471910,24157303,25842697,27528090,0,0,100000000, 
Glenn Robinson, IND,1524305,0,0,0,0,0,1524305, 
Goran Dragic, MIA,17000450,18109175,19217900,0,0,0,35109625, 
Gordon Hayward, BOS,29727900,31214295,32700690,34187085,0,0,93642885, 
Gorgui Dieng, MIN,14112360,15170787,16229213,17287640,0,0,62800000, 
Greg Monroe, BOS,22884176,0,0,0,0,0,22884176, 
Guerschon Yabusele, BOS,2247480,2667600,3117240,4781846,0,0,4915080, 
Harrison Barnes, DAL,23112004,24107258,25102512,0,0,0,47219262, 
