DeAndre' Bembry,SF,23,ATL,18,311,4.6,0.447,0.227,0.239,2.6,9.7,7.6,12.1,2.1,2.2,27,18.9,-0.8,0.3,-0.6,-0.092,-7.2,0.6,-6.6,-0.4,1567200,1634640,2603982,0,0,0,3201840,0,0,3,3,100
Dennis Schroder,PG,24,ATL,54,1689,17.9,0.514,0.22,0.232,2.4,9.7,5.7,36.5,1.7,0.3,12,30.4,1.9,0.7,2.6,0.074,1.7,-2.4,-0.6,0.6,15500000,15500000,15500000,15500000,0,0,62000000,0,0,1,7,107
Dewayne Dedmon,C,28,ATL,38,889,17.3,0.631,0.258,0.194,8.6,9.7,18.3,10.2,1.1,2.6,14.4,17.5,1.6,0.9,2.5,0.138,0.2,0.9,1.1,0.7,6000000,6300000,0,0,0,0,6000000,0,0,2,6,116
Ersan Ilyasova,PF,30,ATL,45,1148,15.2,0.575,0.422,0.218,7,9.7,12.2,6.7,1.8,1.3,9.2,17.9,1.7,0.9,2.6,0.109,0.6,-0.5,0.1,0.6,6000000,0,0,0,0,0,6000000,0,0,3,4,143
Isaiah Taylor,PG,23,ATL,42,593,10.3,0.481,0.228,0.351,2.3,9.7,5.4,22.6,1.5,1.3,14.3,17.1,0.1,0.3,0.4,0.033,-3,-1.7,-4.8,-0.4,1312611,1544951,0,0,0,0,1312611,0,0,2,2,175
John Collins,PF,20,ATL,51,1130,20,0.625,0.047,0.349,13.7,9.7,18,7.6,1.4,4.3,13.9,19,2.6,1.2,3.8,0.163,0.4,1.3,1.8,1.1,1936920,2299080,2686560,4137302,0,0,4236000,0,0,2,7,230
Josh Magette,PG,28,ATL,9,69,17,0.631,0.429,0.429,1.7,9.7,5,36.8,1.4,0,10.7,11.9,0.3,0,0.3,0.2,1.1,-4.5,-3.4,0,27648,0,0,0,0,0,27648,0,0,1,1,248
Kent Bazemore,SG,28,ATL,57,1587,14.7,0.542,0.404,0.302,1.6,9.7,8.2,20.1,2.9,2.2,17,22.7,0.3,1.7,2,0.062,-0.5,1.1,0.6,1,16910113,18089887,19269662,0,0,0,35000000,0,0,2,7,267
Malcolm Delaney,PG,28,ATL,49,930,10.1,0.515,0.438,0.281,1.1,9.7,5.5,22.8,1.5,0.5,17.5,16.8,0.3,0.4,0.7,0.037,-2.1,-2,-4,-0.5,2500000,0,0,0,0,0,2500000,0,0,2,3,307
Marco Belinelli,SG,31,ATL,52,1210,14.3,0.555,0.51,0.225,1.2,9.7,4.7,13.5,1.9,0.2,9.2,21.3,1.4,0.5,2,0.078,0.8,-2.6,-1.7,0.1,6306060,0,0,0,0,0,6306060,0,0,2,4,315
Mike Muscala,C,26,ATL,28,457,15.9,0.645,0.432,0.237,6.7,9.7,12.8,8.6,1.5,2.7,11.5,14.2,1,0.4,1.4,0.144,0.7,0.5,1.2,0.4,5000000,5000000,0,0,0,0,5000000,0,0,2,4,339
Miles Plumlee,C,29,ATL,37,623,11.4,0.604,0,0.333,9.1,9.7,13.1,8.5,1,3.1,24.7,12.6,0.3,0.5,0.7,0.055,-3,1.4,-1.6,0.1,12500000,12500000,12500000,0,0,0,37500000,0,0,1,6,341
Quinn Cook,PG,24,ATL,11,104,10.5,0.543,0.483,0.034,2.3,9.7,6.5,21.1,0,0,9.2,13.6,0.2,0,0.2,0.099,-0.4,-4,-4.4,-0.1,100000,0,0,0,0,0,100000,0,0,2,1,380
Taurean Waller-Prince,SF,23,ATL,57,1703,11.1,0.536,0.446,0.172,2.5,9.7,9.2,11.9,1.5,1.5,16,20,-0.4,1.2,0.8,0.023,-1.6,-0.2,-1.8,0.1,2422560,2526840,3481986,0,0,0,4949400,0,0,2,4,424
Tyler Cavanaugh,PF,23,ATL,30,413,14.4,0.603,0.612,0.147,9.4,9.7,13.7,9.1,1.1,0.6,8.2,14.3,0.9,0.2,1.2,0.134,1.8,-1.4,0.4,0.2,679919,1378242,0,0,0,0,729919,0,0,2,1,450
Tyler Dorsey,SG,21,ATL,31,374,11.2,0.508,0.556,0.215,1.8,9.7,7.7,12.6,0.8,0.5,5.7,18.5,0.3,0.1,0.4,0.054,-1,-2.9,-3.9,-0.2,815615,1378242,0,0,0,0,2193857,0,0,2,1,451
Abdel Nader,SF,24,BOS,28,267,4.7,0.441,0.5,0.141,3.3,10.8,7.2,9.3,1.1,1.2,18.7,17.1,-0.5,0.4,-0.1,-0.018,-5.6,0,-5.6,-0.2,1167333,1378242,1618520,1752950,0,0,1617333,0,0,2,2,4
Al Horford,C,31,BOS,53,1704,18.6,0.593,0.317,0.147,4.9,21.2,13.2,26,1,3,15.4,18.2,3.3,3.1,6.4,0.182,1.5,3.5,5,3,27734405,28928710,30123015,0,0,0,56663115,0,0,2,7,5
Aron Baynes,C,31,BOS,58,1054,11.2,0.494,0.03,0.212,9,9.7,15.9,7.7,0.8,2.8,14.1,16.3,0.1,1.9,2,0.093,-4.6,2.2,-2.4,-0.1,4328000,0,0,0,0,0,4328000,0,0,1,4,28
Daniel Theis,C,25,BOS,56,814,15.3,0.606,0.252,0.347,10.5,9.7,15.9,9,1.5,4.2,18.5,15.7,1.1,1.7,2.8,0.167,-1.4,3.5,2.1,0.8,815615,1378242,0,0,0,0,815615,0,0,2,5,82
Gordon Hayward,SF,27,BOS,1,5,7.4,0.5,0.5,0,0,9.7,10.9,0,0,0,0,17.9,0,0,0,0.061,-5.9,-5.9,-11.8,0,29727900,31214295,32700690,34187085,0,0,93642885,0,0,3,8,162
Greg Monroe,C,27,BOS,28,586,19.5,0.602,0,0.285,11.4,9.7,18.7,16.9,1.6,1,17.6,20.1,1,0.5,1.5,0.123,0.1,0.8,0.9,0.4,22884176,0,0,0,0,0,22884176,0,0,2,6,164
Guerschon Yabusele,PF,22,BOS,22,110,12,0.542,0.688,0.281,12.1,9.7,15.4,8.2,0.5,0.8,14.3,17.1,0.1,0.2,0.3,0.118,-0.5,-1,-1.5,0,2247480,2667600,3117240,4781846,0,0,4915080,0,0,2,2,165
Jabari Bird,SG,23,BOS,4,22,6,0.403,0.5,1.25,0,9.7,5,6.2,2.3,0,0,12.6,0,0,0,0.061,-4.6,0,-4.6,0,75000,0,0,0,0,0,75000,0,0,2,1,184
Jaylen Brown,SF,21,BOS,53,1669,12.7,0.549,0.403,0.277,3.3,9.7,9.3,8.1,1.6,1,11.9,20.7,0.5,2.7,3.2,0.093,-1.1,0.8,-0.2,0.7,4956480,5169960,6534829,0,0,0,10126440,0,0,3,7,212
