Antonius Cleveland,SG,ATL,133632,1511874,0,0,0,0,0,2,2019,62,24
DeAndre' Bembry,SG,ATL,1499760,3066960,4701600,0,0,0,0,3,2020,69,23
Dennis Schršder,PG,ATL,15500000,31000000,46500000,62000000,0,0,0,4,2021,83,24
Dewayne Dedmon,C,ATL,6000000,12300000,0,0,0,0,0,2,2019,75,28
Jaylen Morris,G,ATL,101376,1479618,0,0,0,0,0,2,2019,62,22
John Collins,PF,ATL,1936920,4236000,0,0,0,0,0,2,2021,80,20
Kent Bazemore,SF,ATL,15730338,32640451,50730338,70000000,0,0,0,4,2020,78,29
Kevin Huerter,SG,ATL,2250960,4887240,0,0,0,0,0,2,2022,71,19
Mike Muscala,PF,ATL,5000000,10000000,0,0,0,0,0,2,2019,71,27
Miles Plumlee,C,ATL,7132353,19632353,32132353,44632353,0,0,0,4,2020,73,29
Omari Spellman,PF,ATL,1620480,3518280,0,0,0,0,0,2,2022,71,20
Taurean Prince,SF,ATL,2318280,4740840,7267680,0,0,0,0,3,2020,75,23
Trae Young,PG,ATL,5356440,11629440,0,0,0,0,0,2,2022,79,19
Tyler Dorsey,SG,ATL,815615,2193857,0,0,0,0,0,2,2019,65,22
Allen Crabbe,SG,BKN,18500000,37832500,56332500,74832500,0,0,0,4,2020,76,26
Caris LeVert,SG,BKN,1562280,3194760,4897560,0,0,0,0,3,2020,74,23
D'Angelo Russell,PG,BKN,5103120,10435920,15998280,23017978,0,0,0,4,2019,81,22
DeMarre Carroll,SF,BKN,13600000,27800000,42600000,58000000,0,0,0,4,2019,76,31
Dwight Howard,C,BKN,23180275,46680275,70500000,0,0,0,0,3,2019,83,32
Ed Davis,PF,BKN,4400000,0,0,0,0,0,0,1,2019,74,29
Isaiah Whitehead,PG,BKN,1074145,2386756,3931707,5608442,0,0,0,4,2020,74,23
Jarrett Allen,C,BKN,1713720,3747840,0,0,0,0,0,2,2021,73,20
Jeremy Lin,PG,BKN,11483254,23483254,36000000,0,0,0,0,3,2019,74,29
Joe Harris,SG,BKN,7692308,16000000,0,0,0,0,0,2,2020,79,26
Rondae Hollis-Jefferson,SF,BKN,1335480,2731080,4202462,6672819,0,0,0,4,2019,76,23
Spencer Dinwiddie,PG,BKN,726672,2250977,3907069,0,0,0,0,3,2019,77,25
Abdel Nader,SF,BOS,1167333,2545575,4164095,0,0,0,0,3,2021,71,24
Al Horford,C,BOS,26540100,54274505,83203214,113326228,0,0,0,4,2020,86,32
Aron Baynes,C,BOS,5365854,11000000,0,0,0,0,0,2,2020,76,31
Brad Wanamaker,PG,BOS,831311,0,0,0,0,0,0,1,2019,68,28
Daniel Theis,PF,BOS,815615,2193857,0,0,0,0,0,2,2019,76,26
Gordon Hayward,SG,BOS,29727900,60942195,93642885,127829970,0,0,0,4,2021,84,28
Guerschon Yabusele,PF,BOS,2247480,4915080,0,0,0,0,0,2,2021,71,22
Jaylen Brown,SF,BOS,4743000,9699480,14869440,0,0,0,0,3,2020,82,21
Jayson Tatum,SF,BOS,5645400,12346200,0,0,0,0,0,2,2021,83,20
Kyrie Irving,PG,BOS,16407500,34045563,52914188,73013376,94343126,0,0,5,2020,91,26
Marcus Morris,PF,BOS,5000000,9625000,14625000,20000000,0,0,0,4,2019,80,28
Semi Ojeleye,PF,BOS,1291892,2670134,4288654,6041604,0,0,0,4,2021,74,23
Terry Rozier,PG,BOS,1824360,3730800,5719320,8769710,0,0,0,4,2019,78,24
Cody Zeller,PF,CHA,12584270,26112360,40584270,56000000,0,0,0,4,2021,72,25
